pair_id,sample_i,sample_j,label_i,label_j,smiles_i,smiles_j,warhead_flag_i,warhead_flag_j,warhead_matches_i,warhead_matches_j,tanimoto,atom_delta_fraction,selection_min_tanimoto,selection_max_atom_delta,distance_gcn_space,distance_cfc_space,distance_ratio_cfc_over_gcn
0,131,159,0,1,CCn1c(-c2cnn(-c3ccccc3)c2C2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccc21,CCn1c(-c2cnc(-c3ccccc3)n2CC2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccc21,False,False,,,0.6097560975609756,0.0285714285714285,0.5,0.25,1.2143418788909912,2.41977858543396,1.9926666678446805
1,159,374,1,0,CCn1c(-c2cnc(-c3ccccc3)n2CC2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccc21,Cn1c(-c2cncn2CC2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccc21,False,False,,,0.575,0.2,0.5,0.25,1.3685227632522583,1.252320408821106,0.9150892060026824
2,86,143,0,1,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3ccc(C(=O)N(Cc4ccccc4)c4ccccc4)n3CC3CC3)n(C)c12,Cn1c(-c2ccc(Cc3ccccc3)n2CC2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)cnc21,False,False,,,0.5531914893617021,0.2391304347826087,0.5,0.25,1.0290807485580444,1.4779776334762573,1.4362115271782225
3,68,222,1,0,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(Nc5ccnc(C#N)c5)nc4n3CC3CC3)n(C)c12,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3ccc(C#N)n3CC3CC3)n([C@@H](C)c3ccccn3)c12,True,True,nitrile,nitrile,0.5412844036697247,0.0909090909090909,0.5,0.25,1.9145358800888062,3.6520535945892334,1.9075399069668164
4,52,222,1,0,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(Nc5cnc(C#N)nc5)nc4n3CC3CC3)n(C)c12,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3ccc(C#N)n3CC3CC3)n([C@@H](C)c3ccccn3)c12,True,True,nitrile,nitrile,0.5370370370370371,0.0909090909090909,0.5,0.25,1.9721128940582275,3.7720320224761963,1.912685644843629
5,222,322,0,1,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3ccc(C#N)n3CC3CC3)n([C@@H](C)c3ccccn3)c12,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(-c5cnc(C#N)cc5C)nc4n3CC3CC3)n(C)c12,True,True,nitrile,nitrile,0.5370370370370371,0.0909090909090909,0.5,0.25,2.091456413269043,4.199625015258789,2.007990694242861
6,159,262,1,0,CCn1c(-c2cnc(-c3ccccc3)n2CC2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccc21,Cn1c(-n2nccc2-c2ccccc2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccc21,False,False,,,0.5308641975308642,0.1428571428571428,0.5,0.25,2.0601806640625,3.834923505783081,1.8614501012842923
7,143,374,1,0,Cn1c(-c2ccc(Cc3ccccc3)n2CC2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)cnc21,Cn1c(-c2cncn2CC2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccc21,False,False,,,0.5301204819277109,0.2,0.5,0.25,1.1928342580795288,1.1928670406341553,1.0000274829083793
8,159,203,1,0,CCn1c(-c2cnc(-c3ccccc3)n2CC2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccc21,CCCc1c(-c2nc3cc(C(=O)N4CCC[C@@H](N)C4)ccc3n2C)cnn1-c1ccccc1,False,False,,,0.5232558139534884,0.0571428571428571,0.5,0.25,1.4826229810714722,2.9345405101776123,1.979289777403058
9,127,222,1,0,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3cc4ccc(C5COC5)nc4n3CC3CC3)n(C)c12,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3ccc(C#N)n3CC3CC3)n([C@@H](C)c3ccccn3)c12,False,True,,nitrile,0.5145631067961165,0.025,0.5,0.25,1.372406005859375,1.5493696928024292,1.1289441216283826
