model,dataset,seed,epoch,train_loss,val_loss,val_rmse,test_loss,test_rmse
GCN-CfC,Lipophilicity,7,1,0.8613932198948331,1.3371396958827972,1.3444048151020238,0.8703979253768921,1.1677463281435314
GCN-CfC,Lipophilicity,7,2,0.603838962537271,0.621915876865387,0.9495211774885953,0.5611935406923294,0.9249085445556678
GCN-CfC,Lipophilicity,7,3,0.48359845854617933,0.49693435430526733,0.8722992497210134,0.4901548996567726,0.8607297795602191
GCN-CfC,Lipophilicity,7,4,0.42914007548932676,0.5423702150583267,0.8932061855077215,0.4500642940402031,0.8327323574417859
GCN-CfC,Lipophilicity,7,5,0.3874241246117486,0.5108769908547401,0.8696430939808056,0.43865541368722916,0.812053264167576
GCN-CfC,Lipophilicity,7,6,0.381778273317549,0.5831868648529053,0.9192760816789897,0.6041281968355179,0.9421631235793515
GCN-CfC,Lipophilicity,7,7,0.32448978004632173,0.4647900238633156,0.860405806564501,0.48934268951416016,0.8487608783345024
GCN-CfC,Lipophilicity,7,8,0.3300683785367895,0.4385240972042084,0.825730947877007,0.45238862186670303,0.8237442531008967
GCN-CfC,Lipophilicity,7,9,0.3199515414458734,0.7021471112966537,1.02620851867328,0.6125004142522812,0.9680758868788103
GCN-CfC,Lipophilicity,7,10,0.30097493529319763,0.7174676656723022,1.0284490984688934,0.6977765113115311,1.0072009574708334
GCN-CfC,Lipophilicity,7,11,0.31462319360839,0.42149704694747925,0.8145014613602691,0.46805064380168915,0.8192011252833252
GCN-CfC,Lipophilicity,7,12,0.2757445275783539,0.7269839495420456,1.0376800288994237,0.6805844157934189,1.007911558975413
GCN-CfC,Lipophilicity,7,13,0.26212505499521893,0.448598712682724,0.838171709481533,0.4551544487476349,0.8114525205104456
GCN-CfC,Lipophilicity,7,14,0.2683335702728342,0.46074435859918594,0.8499111998678612,0.42670033127069473,0.7985678251025785
GCN-CfC,Lipophilicity,7,15,0.25634268754058415,0.49698375910520554,0.8532407828771187,0.4881781339645386,0.8521545871580043
GCN-CfC,Lipophilicity,7,16,0.27047864927185905,0.40662311762571335,0.7988333853476136,0.43401773273944855,0.7905664746482155
GCN-CfC,Lipophilicity,7,17,0.2343453229577453,0.44256607443094254,0.8192723537139139,0.4462282210588455,0.8065981726755546
GCN-CfC,Lipophilicity,7,18,0.22566314979835791,0.37800588086247444,0.7766695789219799,0.42122582346200943,0.7775889254432871
GCN-CfC,Lipophilicity,7,19,0.2415288477032273,0.4812166765332222,0.8610233451013269,0.5935430824756622,0.91501864122465
GCN-CfC,Lipophilicity,7,20,0.2210832194045738,0.386484757065773,0.7700362509083665,0.4051721468567848,0.7735043891727958
GCN-CfC,Lipophilicity,7,21,0.21056408517890507,0.3849877789616585,0.7825503780369683,0.41981010884046555,0.78214193926967
GCN-CfC,Lipophilicity,7,22,0.1968458311425315,0.5602129101753235,0.9366832354178645,0.6416179090738297,0.9551841505366714
GCN-CfC,Lipophilicity,7,23,0.2054646677441067,0.4517090767621994,0.841605463415079,0.427113339304924,0.8083770756503877
GCN-CfC,Lipophilicity,7,24,0.19771257760348143,0.8762705773115158,1.1654664859936408,0.8647271692752838,1.1316637199449635
GCN-CfC,Lipophilicity,7,25,0.22057628079696937,0.4449908286333084,0.8292826352579197,0.4636785686016083,0.8251232228588655
