dataset,seed,epoch,train_loss,val_loss,val_roc_auc,val_valid_tasks,test_loss,test_roc_auc,test_valid_tasks,val_rmse,test_rmse
Tox21,7,1,0.3505443973200662,0.2127855462687356,0.7163353982475701,12.0,0.1764982704605375,0.6983337000653637,12.0,,
Tox21,7,2,0.23515475191632096,0.20893473710332597,0.7440370254689435,12.0,0.1686911710671016,0.7215903868731116,12.0,,
Tox21,7,3,0.2269215568596003,0.19801690535885946,0.7719640505432585,12.0,0.1648442362036024,0.7330645918248871,12.0,,
Tox21,7,4,0.22064456191598153,0.1981601949248995,0.7732970444243307,12.0,0.16440090111323766,0.7438659564457647,12.0,,
Tox21,7,5,0.21392317906934388,0.19606399961880275,0.7850726849951077,12.0,0.164816857448646,0.7501966262413102,12.0,,
Tox21,7,6,0.2091101569180586,0.19856914026396616,0.7762463151987015,12.0,0.1638691531760352,0.7488689225955626,12.0,,
Tox21,7,7,0.20513599046639033,0.19721382004874094,0.7700809802787095,12.0,0.16583322095019476,0.7327589611036097,12.0,,
Tox21,7,8,0.20083955751389873,0.1918182522058487,0.7900054875165563,12.0,0.16234200767108373,0.7494400400846765,12.0,,
Tox21,7,9,0.19842836808185188,0.19990486119474685,0.7793225946919183,12.0,0.16435930345739638,0.753295955113754,12.0,,
Tox21,7,10,0.19721367772744627,0.1900381531034197,0.7993909036512389,12.0,0.15542884756411826,0.7644207306593523,12.0,,
Tox21,7,11,0.194263436052264,0.18877102860382625,0.7932563528952873,12.0,0.16019695784364427,0.7655121671264848,12.0,,
Tox21,7,12,0.19021586556823886,0.1945310149874006,0.7976788382439994,12.0,0.1581467656152589,0.7824163115346215,12.0,,
Tox21,7,13,0.18981206690778538,0.20101428031921387,0.7906107139908656,12.0,0.16949445647852762,0.7671261439994163,12.0,,
Tox21,7,14,0.18816586203721106,0.18997794602598464,0.8048128522484234,12.0,0.1530802505356925,0.7890673928263402,12.0,,
Tox21,7,15,0.18504766937421294,0.1901516169309616,0.8023957029454866,12.0,0.1551655706550394,0.7843395818264126,12.0,,
Tox21,7,16,0.1829586783233954,0.19245595804282598,0.8019735547040789,12.0,0.15430579068405287,0.799101924981306,12.0,,
Tox21,7,17,0.18270035361757084,0.1944433684859957,0.796230934462527,12.0,0.1630005298980645,0.7670642153479154,12.0,,
Tox21,7,18,0.18125355486967126,0.20244837871619634,0.7922463676039966,12.0,0.16270809833492553,0.7880204763913823,12.0,,
Tox21,7,19,0.1806409933737346,0.19975448931966508,0.8008544581892428,12.0,0.16506981743233545,0.7790758358349793,12.0,,
Tox21,7,20,0.17732157634229076,0.1936067385332925,0.7982921919423457,12.0,0.1522814349404403,0.8053593545937491,12.0,,
Tox21,7,21,0.17672056598322733,0.19037505558558873,0.796321146872843,12.0,0.15096788268004144,0.7885558931214133,12.0,,
Tox21,7,22,0.17315061420810465,0.19080792367458344,0.7826044038763457,12.0,0.153327649725335,0.7824097442715029,12.0,,
Tox21,7,23,0.1735744591878385,0.1866462699004582,0.789312372212128,12.0,0.15506668282406671,0.7600033084402785,12.0,,
Tox21,7,24,0.1704844902364575,0.18829881080559321,0.8055467198981884,12.0,0.1539831943809986,0.7879280342078511,12.0,,
Tox21,7,25,0.1703315462384905,0.19411681379590714,0.7979192590378238,12.0,0.15377897077373096,0.7994225584525104,12.0,,
Tox21,7,26,0.16917517720436565,0.18986264722687857,0.8025885293565018,12.0,0.15174001987491334,0.7967105086775491,12.0,,
Tox21,7,27,0.16761685877430196,0.1898961067199707,0.7800911557796645,12.0,0.1590242816933564,0.7616968423712533,12.0,,
Tox21,7,28,0.16534874937972244,0.18881532549858093,0.808483077427987,12.0,0.15506568657500402,0.7928418120313524,12.0,,
Tox21,7,29,0.16532721659358668,0.19128220421927317,0.7951062851796139,12.0,0.15433979885918753,0.7892058014115446,12.0,,
Tox21,7,30,0.16183707802271358,0.19306423195770808,0.7913354436636467,12.0,0.15534920138972147,0.7934252658982789,12.0,,
Tox21,7,31,0.16231760549910215,0.19088317240987504,0.7860739579100703,12.0,0.1639239282480308,0.763971949924431,12.0,,
Tox21,7,32,0.15873397886753082,0.19849762959139688,0.7870735330818843,12.0,0.16512934171727725,0.7754303798131238,12.0,,
Tox21,7,33,0.15871217147428163,0.18979197101933615,0.8073414461683283,12.0,0.1557827964425087,0.7831268133283086,12.0,,
Tox21,7,34,0.15782634488173894,0.1938749658209937,0.7916821910958749,12.0,0.1634937221450465,0.7666739701103213,12.0,,
Tox21,7,35,0.15500310884446514,0.18633959974561418,0.798701343230618,12.0,0.15696725568601064,0.7996330627854805,12.0,,
Tox21,7,36,0.15664194706751375,0.19316384196281433,0.7827098735740666,12.0,0.1652867490691798,0.7678443362022782,12.0,,
Tox21,7,37,0.15482256820007245,0.19342690067631857,0.7926542165961497,12.0,0.15463877895048686,0.7797739441644046,12.0,,
Tox21,7,38,0.15407926619661097,0.20250651027475083,0.7913804148379598,12.0,0.16109151446393558,0.7870379951447103,12.0,,
Tox21,7,39,0.15065312035837952,0.1986461537224906,0.8047123977695775,12.0,0.16024595073291234,0.7948981903428302,12.0,,
Tox21,7,40,0.15054043610485232,0.20279952032225473,0.7880417779099113,12.0,0.16523573973349162,0.7848676823295907,12.0,,
Tox21,7,41,0.14856057325187993,0.20969621198517935,0.8008916548745265,12.0,0.16480917323912894,0.8109943310832349,12.0,,
Tox21,7,42,0.14800545725287223,0.20843891160828726,0.7875756193616562,12.0,0.16876473331025668,0.7890191099328145,12.0,,
Tox21,7,43,0.14742090750713738,0.2091431106839861,0.7873359676736618,12.0,0.1701464248555047,0.7827906987053445,12.0,,
Tox21,7,44,0.1469954401254654,0.20307434030941554,0.7976588665482987,12.0,0.17654956451484136,0.7807030332115593,12.0,,
Tox21,7,45,0.1439825092651406,0.19739181654793875,0.7880552683034403,12.0,0.16307408415845462,0.792581346338798,12.0,,
Tox21,7,46,0.14293234308763425,0.2035304116351264,0.8019073060270445,12.0,0.16977688829813684,0.8054449768263438,12.0,,
